,jobtitle,jobdescription,experience
0,Lecturer In Discipline | Data Science,"<p>The Department of Computer Science at Columbia University in the New York City invites applications for Lecturer in Discipline in the area of Data Science. <br /> <br />Lecturers in Discipline are officers who meet a programmatic need for instruction in specialized fields. The selected candidate/s will be expected to teach courses on Algorithms, Machine Learning, as well as the Capstone & Ethics course. Courses will be geared towards data science, at the graduate level, and the candidate/s will be responsible for advising students in Data Science Institute's academic programs: Certification of Professional Achievement and/or Master of Science in Data Science. In addition to teaching and mentoring responsibilities, the selected candidate will assist the growth and development of future online and on-campus graduate degree programs within the Institute, as well as with executive education; ensure adequate linkage with industry and practical applications as part of the Capstone & Ethics course; and coordinating with the faculty in the Data Science Institute. Typical teaching load consists of two courses per semester.</p> <p>Candidates for appointment must demonstrate practice expertise, professional competence and scholarship in Computer Science. Candidates must hold a doctorate degree or its professional equivalent. The ideal candidate also possesses the ability to bring real world approaches, methods and technologies from industry to the School's classrooms. In collaboration with the Institute's Director of Strategic Programs, the incumbent will provide students with exposure to practitioners of outstanding professional achievement and leadership. The Department is especially interested in qualified candidates who can contribute, through their teaching and/or service, to the diversity and excellence of the academic community.  </p> <p>Lecturers in Discipline will be appointed for an initial year, after which, appointments will be renewed annually, based on his/her performance.  </p>",No experience
1,Data Scientist / Management Analyst,"ENGINEERING: 
	H2O.ai, Inc. requires a Data Scientist / Management Analyst in Mountain View, CA. Duties: Predict risk by analyzing consumer spending transactional data using statistical techniques such as decision trees & neural networks. Please email resumes to careers@h2o.ai. Must reference job code 151124.",No experience
2,Data Scientist,"Research Associate (Research Institute at Nationwide Children's Hospital, Columbus, OH). Perform advanced statistical analyses. Execute simulation-based analyses to evaluate performance of alternative data linkage models. Teach in-house stats & research seminars. Must have MS in Biostats or Stats or related & 1 year (PT or FT; gained before/during/after degree) in academic or research setting in analyzing data utilizing advanced stat. methods, such as logistic regression, using SAS, conducting research projects & preparing summary reports, manuscripts, or presentations, & effective undergrad- or grad-level teaching that demonstrates students' understanding & advancement in subject matter knowledge, as confirmed by references. Qualified candidates may view details & apply online at www.nationwidechildrens.org",No experience
3,Data Scientist,"<p>Data Scientist sought by zulily, LLC. in Seattle, WA. Bld cmplx statstcl mdls tht lrn frm &amp; scale to terabytes of data usng lang such as R, Python, Julia, etc. Wrt &amp; intrprt cmplx SQL and HiveQL queries to infrm data mnng &amp; mdlng. Reqs MS in Stats, Math, Engrng, Op Rsrch, Comp Sci or rltd. Know of fclty lctn, Geo-Anlytcl &amp; Map vislztn; systms mdlng, optmzton, frght dmnd frcstng and ops mngmnt; ntwrk flw optmzton, trnsprtn, lgstcs &amp; cst mdlng. Prfcncy w advncd prgrmmng lang such as Matlab, R, Python &amp; othr sftwre TransCAD, ArcGIS etc; in answrng cmplx biz qstns usng optmztn &amp; stats. Req trvl to compny &amp; client sites as nedd. Perm US wrk auth reqd. Aply @ jobpostingtoday.com&nbsp; ref# 84255.</p>",No experience
4,Tech Data Scientist,"Tech Data Scientist sought by Zulily in Seattle, WA. MS in Stats, Math, Engrng, Oprtns Rsrch, Comp Sci, or anthr quntiv dscp. Knowl of: predctv modlg usng bth sprvsd & unsprvsd lrng techqs; . Knowl in: gnrlzd linr modls, ensmbl modls, resmplg mthds, modl validtn & testg, dimsnlty rdcn, clstng & Bayesian aprch to data anlys; knowl of at least 1 of R or Python; bsic anlys tools of SQL & Excel; ansring cmplx biz qstns usng stats, mach lrnng & matrx algbra; comnctng modeling procs & rslts to non-exprts; stats & prbblty, mach lrnng & wrkng w/ lrg data sets. Req ocsnl dmstc trvl to oth zulily offcs. PERM US wrk authy. Aply @ www.jobpostingtoday.com # 83722",No experience
5,Data Engineer Lead,"The Lead Data Engineer is responsible for building a data processing pipeline in that collects, connects, centralizes, and curates data from various internal and external data sources. This role is pivotal to the mission and vision of Enterprise Analytics to transform healthcare for children. You must be able to architect highly scalable and reliable data engineering solutions for moving data efficiently across systems; design, implement, test and deploy data processing infrastructure; take ownership and get things done in an Agile team setting; and break down, estimate and provide just-in-time design for small increments of work.",No experience
6,Data Engineer Lead,"<font size=""2""><font face=""arial,helvetica,sans-serif""><strong>We are using data to transform care and cures for kids!<br></strong><br>For more than 100 years, Seattle Children's has been leading the discovery of new cures and delivering the latest treatments available - all part of our mission to prevent, treat, and eliminate pediatric disease. We are now taking it to the next level and experiencing unprecedented growth in data and analytics across the enterprise. We're looking for talented data/analytic experts with a passion for helping kids and their families lead better, healthier lives.<br><br>Seattle Children's Enterprise Analytics (SCEA) is the analytic backbone supporting clinicians, research, and business operations. From the simplest data mart to real-time streaming for predictive analytics, we deliver data and analytics to our world-class researchers and clinicians that they need to make timely, data-driven decisions - decisions that will transform medical care and cures for kids worldwide for decades to come. <br><br></font></font><font face=""arial,helvetica,sans-serif"" size=""2"">As a Lead Engineer in SCEA, you will work with developers, analysts, scientists, clinicians, and business owners in a team-driven, agile environment to develop and scale data products covering more than half a million patients. We need your experience and expertise to build innovative solutions to transform patient care. Successful members of this team collaborate effectively with internal end-users, aggressive cross-functional development teams, and technical support/sustaining engineering teams to solve problems, implement next generation solutions and deliver successfully against high operational standards of system availability and reliability. We look for team members who are excellent communicators, self-motivated, flexible, hard working, and who like to have fun.<br><br><br></font><font size=""2""><font face=""arial,helvetica,sans-serif""><strong><u>Job Summary</u><br></strong><br>The Lead Data Engineer is responsible for building a data processing pipeline in that collects, connects, centralizes, and curates data from various internal and external data sources. This role is pivotal to the mission and vision of Enterprise Analytics to transform healthcare for children. You must be able to architect highly scalable and reliable data engineering solutions for moving data efficiently across systems; design, implement, test and deploy data processing infrastructure; take ownership and get things done in an Agile team setting; and break down, estimate and provide just-in-time design for small increments of work.</font></font>",No experience
7,Senior Data Engineer,"<p>For more than 100 years, Seattle Children's has been leading the discovery of new cures and delivering the latest treatments available - all part of our mission to prevent, treat, and eliminate pediatric disease. We are now taking it to the next level and experiencing unprecedented growth in data and analytics across the enterprise. We're looking for talented data/analytic experts with a passion for helping kids and their families lead better, healthier lives.<br><br>Seattle Children's Enterprise Analytics (SCEA) is the analytic backbone supporting clinicians, research, and business operations. From the simplest data mart to real-time streaming for predictive analytics, we deliver data and analytics to our world-class researchers and clinicians that they need to make timely, data-driven decisions - decisions that will transform medical care and cures for kids worldwide for decades to come.<br></p>",No experience
8,senior data engineer,"ENGINEERING MapR Technologies, Inc. in San Jose, CA seeks Senior Data Engineer: Install, configure, and perform tune up of Hadoop clusters as well as analyze, design and program Big Data applications. Know the company's Hadoop stack and Hadoop Eco-System products and maintain proficiency as the technology evolves and advances. May work at other undetermined locations throughout the U.S. Telecom-muting allowed. Mail resume to MapR, Attn: HR job code #36051, 350 Holger Way, San Jose, CA 95134.",No experience
9,Data Scientist I,"Work under limited technical direction in the development of data analysis and management tools for specialized data and analytics SCH projects. The position requires skills in data science, statistics, and computer science, particularly as they apply to the analysis and management of complex biomedical and clinical data.",No experience
