,jobtitle,jobdescription,experience
0,Software Engineer (Nhr-14/24/74),"<p>In support of NAVAIRâ€™s Simulation Division at NAS Patuxent River, MD, we have immediate openings for all levels of Software Engineers for the design and development of high fidelity aircraft simulations and flight trainers.&nbsp; Projects include prototype flight training devices, upgrades to existing devices, simulations to support aircraft and mission system RDT&amp;E, and hardware/software integration involving aircraft equipment.</p>

<p><strong>Responsibilities:</strong>&nbsp; Software development of real-time avionics, mission systems, and supporting models utilizing C and C++.&nbsp; Tasking includes software design, development, integration, tracking and fixing discrepancies, and testing of avionics models involved with real-time flight trainers and simulators.&nbsp; Some tasking will include software development coupled with hardware/software integration.&nbsp; Candidate will be coding in a Linux and Windows Operating System (OS) environment, using open source libraries such as QT and Boost.&nbsp; Some tasking entails designing, writing, and integrating various aircraft models and working with 1553 and ARINC 429 protocols. &nbsp;The position requires strong individual coding skills, as well as the ability to effectively interact with other software and engineering team members. Some travel is expected.</p>

<p><strong>Qualifications:</strong>&nbsp; A Computer Science, Engineering, or related technical degree is desired.&nbsp; Simulation experience, and experience with coding hardware/software interfaces to mission systems is desired. Candidate must have a proven grasp of C and C++ programming languages, including Object Oriented Design, preferably in both a Windows and Linux/Unix environment.&nbsp; Familiarity with standard software Configuration Management (CM) practices, full life-cycle development, as well as with ARINC 429 and 1553 protocols is preferred.&nbsp; Candidate must possess strong independent coding skills, yet be able to communicate with other members of the software development team.&nbsp; Applicant must be a U.S. citizen and have the ability to obtain a Secret security clearance.</p>

<p>In addition to submitting your resume, please complete our EEO Voluntary Self-Identification Form and the Voluntary Self-Identification of Disability Form located on our website. Completion of this data is voluntary and will not affect your opportunity for employment.</p>

<p>&nbsp;</p>",No experience
1,Software Engineers,"<p><strong>JOBS in our Ypsilanti, MI location â€“ are you looking to move to MI?&nbsp;&nbsp; Come check out our Software/Developer positions.</strong></p>

<p><b>MDA Information Systems LLC</b> is looking for a&nbsp;Software Engineers/Web Developer/Java Developer and Computer Analyst &nbsp;in our Ypsilanti, MI location.&nbsp; These positions are immediately available.&nbsp; We are looking for candidates that are willing to dive right in.</p>

<p><strong><u>The Company</u>:</strong> MDA Information Systems LLC is a major supplier of weather information and geospatial intelligence. The firm serves a diverse client base including commercial and governmental organizations in agriculture, energy, defense, and civilian government.</p>

<p>MDA is an industry leader in earth observation remote sensing technology and image processing.&nbsp; We build satellite ground systems that enable users to acquire and process imagery from the most sophisticated Earth-observing satellites in the world:&nbsp; much of the satellite imagery that you see on Google Maps was generated by our software!</p>

<p><b>Software Engineer â€“ Web Developer&nbsp; 2015-1266&nbsp; Ypsilanti, MI&nbsp; Looking to relocate?</b></p>

<p><strong>To be qualified you must be a US Citizen and&nbsp;be able to obtain&nbsp;an active TS/SCI Clearance within 18 months</strong></p>

<p><strong>&nbsp;</strong></p>

<p><strong>Responsibilities:</strong>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Most days you will be contributing to a database-backed web portal with some really cool user interfaces.&nbsp;You will be coding in HTML, JavaScript (jQuery), Java, C++, and SQL (Oracle).</p>

<p>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; You will tackle interesting scenarios that arise from different web browsers and extremely latent network connectivity.</p>

<p>&nbsp;</p>

<p><b>Qualifications:&nbsp; </b></p>

<p>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Candidates must show a passion for innovation, a sophisticated understanding of software systems and applications, and the ability to effectively manage, grow, and evolve MDA Information Systems LLC software solutions.</p>

<p>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Youâ€™re highly proficient in Java, and ideally C++ as well.&nbsp; You code things well the first time through and you do it fast.</p>

<p>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; You understand the differences between Java and C++.&nbsp; You have the aptitude to pick up other languages quickly.&nbsp;</p>

<p>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; You must be able to track an HTTP request from the browser, through the application server (we use Tomcat) and into the database, and everything that happens along the way.</p>

<p>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; You need to care about how efficient things run, and how they look and feel to the end-user as well.&nbsp;</p>

<p>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; HTML is second nature and JavaScript is a breeze.&nbsp; Youâ€™ve used jQuery extensively.</p>

<p>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Youâ€™re familiar with XML â€“ not just what it looks like, but how to represent things in it cleanly as well as how to use open source libraries to parse it and validate it against a schema.</p>

<p>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Our code includes interactive 3D graphics all within the browser, so a working knowledge of SVG and/or WebGL (three.js) would be great, but not required&nbsp;</p>

<p><b>Education</b></p>

<p>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; The&nbsp;Software Engineer/Web&nbsp;Developer&nbsp;position requires a bachelors degree in a specialized area or equivalent field and two to five years of related experience; or masters degree and zero to two years of related experience.</p>

<p>&nbsp;</p>

<p><b>Please apply directly on line at <a href=""http://www.mdaus.com"">www.mdaus.com</a> our recruiter will reach back to you</b></p>

<p>&nbsp;</p>

<p><b>Software Engineer â€“ Database Developer 2015-1301&nbsp; Ypsilanti, MI&nbsp; Looking to relocate?</b></p>

<p>&nbsp;</p>

<p><b>To be qualified you must be a US Citizen and obtain a TS/SCI clearance&nbsp;within 18 months or have an active TS/SCI Clearance</b>&nbsp;</p>

<p>&nbsp;</p>

<p><b>Responsibilities:</b></p>

<p>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Most days you will be contributing to a distributed database with a web-based frontend.&nbsp;You will be coding in Java, PL/SQL, and a little HTML, JavaScript (jQuery), and C++.</p>

<p>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; You will tackle interesting scenarios that arise from multiple replicated databases, and extremely latent network connectivity.</p>

<p>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; You will be using version control (we use Subversion and Git in some complicated ways), issue tracking (we use Trac), and automated builds (we use Jenkins)</p>

<p>&nbsp;</p>

<p><b>Qualifications</b>:&nbsp;</p>

<p>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Candidates must show a passion for innovation, a sophisticated understanding of software systems and applications, and the ability to effectively manage, grow, and evolve MDA Information Systems LLC software solutions.</p>

<p>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Youâ€™re highly proficient in Java, and ideally C++ as well.&nbsp; You code things well the first time through and you do it fast.</p>

<p>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; You understand the differences between Java and C++.&nbsp; You have the aptitude to pick up other languages quickly.&nbsp;</p>

<p>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; You need to care about how efficient things run, and how they look and feel to the end-user as well.&nbsp;</p>

<p>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Youâ€™re familiar with XML â€“ not just what it looks like, but how to represent things in it cleanly as well as how to use open source libraries to parse it and validate it against a schema.</p>

<p>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; You understand database design and have the ability to create and understand ER diagrams.</p>

<p>&nbsp;</p>

<p><b>Education</b></p>

<p>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; The Senior Software Engineer Database Developer&nbsp;position requires&nbsp; a Bachelor degree in a specialized area or equivalent field and two to five years of related experience; or masters degree and zero to two years of related experience.</p>

<p>&nbsp;</p>

<p><b>Please apply directly on our website at <a href=""https://urldefense.proofpoint.com/v2/url?u=http-3A__cp.mcafee.com_d_k-2DKr4x0q6xESyMMUU-2DOCMYrKrpop73zhO-2D-2Drv7cIcECzAQsCQrLnusd7dPhOYrs79IKcKcCV7XR9ODVVo5aEqTjBPqG6JQVsSwOwDHbz-5FnVYQsTKPRXBQSrTV5Bd4QsCzDBHFShhlKUPOEuvkzaT0QS-2DrhKrLOrXWb2bzzy9KVIDeqR4INK9W7K-5F2DYJ6JnlGOxfBYcFUT4YASsjDdoKO82EGkVl3mWsKQ40gws961In42bgg15zwm84Ngb1m8A82O9EVY248S0ugj38Qo5Mfkr1oI4wUg0o1NlpIM-5Fc3y95E80y9OMGm1ood787bxcJ4op0l2Gr07wp0sb7y8H5-2DA0BqqdgG-5F2e-2D-2D8d104aD182w51pmyFywGMM-2Dc0Ak6wi2g8fh80gy0EuObAlkfo2Er4d6zhOI6zjgg153F6zCEcSWqs2Xa8M8q18O9ch3Mac5MM5M8E8Exlmol0Eq2EI0EQmpIQ40hVNKxfoOTBJ8-2D2z6Q9HlFfBPqbbdTQPob6Azh05GQDa16xEwtH4Qg3os86y0Qg6yxcQgjHfjPh1m7Cy1SIjh0dxFEwfHrpOH0Qgr10QglxVEwtH4Qg1Agd41Zrrelo6yASevdMzDG&amp;d=CwMFAg&amp;c=RAhzPLrCAq19eJdrcQiUVEwFYoMRqGDAXQ_puw5tYjg&amp;r=p_yRO9Y-UyrS3Wdo24YnvQPlj_r5snGct1oL5nrae5A&amp;m=1-hNLaahKfXTZuMeZsenSq3R2FDPYSNgeec7RWFMhxI&amp;s=LA3Kn47diKVWEcl8LS1hFGW04j4uspBg0jSqjpNFfXk&amp;e="">www.mdaus.com</a> our recruiter will reach back to you</b></p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p><b>Senior Software Engineer&nbsp; 2105-1312&nbsp; Ypsilanti, MI&nbsp; Looking to relocate?</b></p>

<p>&nbsp;</p>

<p><b>To be qualified you must be a US Citizen and have an active TS/SCI Clearance within 18 months</b></p>

<p>&nbsp;</p>

<p><b>Responsibilities:</b></p>

<p>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Expert in C++ or Java.&nbsp; Everybodyâ€™s read about object-oriented programming in a book â€“ weâ€™re looking for developers that live and breathe it.</p>

<p>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Aptitude for picking up other&nbsp;languages quickly.&nbsp; Weâ€™ll use Python and Matlab when theyâ€™re the&nbsp; right tools for the job.</p>

<p>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; We solve a lot of large&nbsp;problems and need solutions that scale well.&nbsp; A knack for designing&nbsp;with this in mind from day one is critical whether weâ€™re writing &nbsp;&nbsp;&nbsp;&nbsp; multi-threaded code on a big memory machine or figuring out an efficient &nbsp;&nbsp;&nbsp;&nbsp; way to distribute work across a cluster of machines.</p>

<p>&nbsp;</p>

<p><b>Qualifications:</b></p>

<p>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Candidates must show a passion for innovation, a sophisticated understanding of software systems and applications, and the ability to effectively manage, grow and evolve&nbsp;MDA Information Systems LLC&nbsp;software&nbsp;solutions.</p>

<p>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; You're an expert in C++. &nbsp;This doesn't just mean that you read about object-oriented programming in a book - you live and breathe this stuff. &nbsp;You code things&nbsp;well the first time through and you do it fast.</p>

<p>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; You've got a working knowledge of some other languages - Java or Python preferably - as well as an aptitude for picking up new languages&nbsp;as the job requires.</p>

<p>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; You're familiar with XML- not just what it looks like, but how to represent things in it cleanly as well as how to use open source libraries to parse it and validate it against a schema.</p>

<p>&nbsp;</p>

<p>&nbsp;<b>Education</b></p>

<p>&nbsp;</p>

<p>Â·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; The Senior Software Engineer position requires&nbsp; a bachelors&nbsp; degree in a specialized area or equivalent field and five to ten years of related experience; or Master degree and zero to two years of related experience</p>

<p>&nbsp;</p>

<p><b>Please apply directly on line at <a href=""http://www.mdaus.com"">www.mdaus.com</a> our recruiter will reach back to you.</b></p>

<p>&nbsp;</p>",No experience
2,Software Engineer,"ENGINEERING-Leeyo Software, Inc. is recruiting for our San Jose, CA office: Software Engineer: Analyze, design, program, troubleshoot, debug, and modify accounting & revenue software applications used in local, networked, cloud-based or Internet-related software for use in complex commercial ERP environments. Mail resume w/ job code #36734 to: Attn.: HR, Leeyo Software, 2841 Junction Ave., Ste. 201, San Jose, CA 95134.",No experience
3,Software Engineer,"ENGIINEERING 
	Juniper Networks is recruiting for our Sunnyvale, CA office: Software Engineer: Analyze, design, develop and sustain packet forwarding engine architecture and its associated software in highly complex, high performance networks. Mail single -sided resume w/ job code #36009: to Juniper Networks, Attn.: MS A.8.429A, 1133 Innovation Way, Sunnyvale, CA 94089.",No experience
4,Software Engineer Staff,"ENGIINEERING 
	Juniper Networks is recruiting for our Sunnyvale, CA office: Software Engineer Staff: Write design and functional specification for modules and systems that make up large s/w system for complex customer deployments in SDN space. Develop s/w with Continu-ous-Integration Model and review codes. Mail single-sided resume w/ job code #17503: to Juniper Networks, Attn.: MS A.8.429A, 1133 Innovation Way, Sunnyvale, CA 94089.",No experience
5,Embedded Software Engineer,"ENGINEERING: 
	Embedded Software Engineer, UICO LLC, Sunnyvale, CA  (Multiple Openings) Create the embedded software for UICO's touchscreens for extreme environments utilizing 
	8-Bit computer languages. Will infrequently travel to headquarters located in Elmhurst, Illinois. For more info email 
	careers@uico.com",No experience
6,Software Engineer,"ENGINEERING: 
	Software Engineer (SE-AB) Design, implement & integrate new prod concepts for surgical robotic & simulation platforms. MS+2 yrs rltd exp. Send resumes to Intuitive Surgical Operations, Attn: Rebecca Counihan, 1020 Kifer Road, Sunnyvale, CA 94086. Must ref title & code",No experience
7,Software Engineers,"SOFTWARE 
	ENGINEERS  Dev. for all layers of sw stack. Master's req'd. Mail: # SWE2-PA3, attn Y. Montalvo, Palantir Technologies Inc., 100 Hamilton Ave., Ste 300, Palo Alto, CA 94301",No experience
8,Software Engineer,"ENGINEERING Infoyogi LLC in Santa Clara, CA seeks Software Engineer: Provide statistical programming services and conduct statistical analysis of individual clinical studies and integrated summaries of safety and effectiveness data. May work at undetermined worksites in the US and relocation may be required. Telecommuting allowed. Email resume with Job Code #34983 to cv@infoyogi.com.",No experience
9,Senior Software Engineer,"ENGINEER Senior Software Engineer (Applications) in San Jose, CA. Design, develop & maintain SW apps by understanding reqs & translating biz specs into cohesive SW design & implementation. May be req to reloc to various, unanticipated sites in US. MS+2 yrs rltd exp or BS+5 yrs prog rltd exp. Send res: GlobalLogic, Attn: Joe Angeli, 1741 Technology Dr, 4th Fl, San Jose, CA 95110. Must ref job title &code: SSE-VR",No experience
